Date,Open,High,Low,Close
2020/1/31,16.25,19.99,16.18,18.84
2020/2/3,18.639999,18.879999,17.1,17.969999
2020/2/4,16.450001,16.459999,15.63,16.049999
2020/2/5,16.290001,16.32,15.02,15.15
2020/2/6,15.13,15.66,14.7,14.96
2020/2/7,15.07,16.16,14.81,15.47
2020/2/10,15.88,16.43,15.01,15.04
2020/2/11,14.91,15.27,14.38,15.18
2020/2/12,14.86,14.88,13.73,13.74
2020/2/13,14.43,15.44,14,14.15
2020/2/14,14.12,14.54,13.38,13.68
2020/2/18,14.98,15.49,14.53,14.83
2020/2/19,14.66,14.74,14.21,14.38
2020/2/20,14.54,17.209999,14.49,15.56
2020/2/21,17.33,18.209999,16.190001,17.08
2020/2/24,22.25,26.35,22,25.030001
2020/2/25,23.280001,30.25,22.620001,27.85
2020/2/26,26.629999,29.57,24.76,27.559999
2020/2/27,32.139999,39.310001,29.370001,39.16
2020/2/28,42.02,49.48,39.369999,40.110001
2020/3/2,38.540001,40.41,31.5,33.419998
2020/3/3,33.650002,41.060001,24.93,36.82
2020/3/4,34.439999,35.580002,30.299999,31.99
2020/3/5,33.610001,42.84,33.540001,39.619999
2020/3/6,48.93,54.389999,40.84,41.939999
2020/3/9,41.939999,62.119999,41.939999,54.459999
2020/3/10,49.68,55.66,43.560001,47.299999
2020/3/11,52.240002,55.82,49.98,53.900002
2020/3/12,61.459999,76.830002,59.91,75.470001
2020/3/13,71.309998,77.57,55.169998,57.830002
2020/3/16,57.830002,83.559998,57.830002,82.690002
2020/3/17,82.690002,84.830002,70.370003,75.910004
2020/3/18,69.370003,85.470001,69.370003,76.449997
2020/3/19,80.620003,84.260002,68.57,72
2020/3/20,67.860001,69.510002,57.419998,66.040001
2020/3/23,74.080002,76.739998,60.459999,61.59
2020/3/24,58.759998,61.880001,36.240002,61.669998
2020/3/25,61.439999,68.860001,58.029999,63.950001
2020/3/26,65.669998,67.059998,57.66,61
2020/3/27,64.949997,69.099998,61.799999,65.540001
2020/3/30,66.300003,67.690002,56.599998,57.080002
2020/3/31,56.689999,58.75,50.880001,53.540001
2020/4/1,57.380001,60.59,52.759998,57.060001
2020/4/2,54.459999,57.240002,50.450001,50.91
2020/4/3,51.110001,52.290001,46.740002,46.799999
2020/4/6,44.169998,45.73,43.450001,45.240002
2020/4/7,44.830002,47.509998,43.509998,46.700001
2020/4/8,45.900002,47.279999,42.529999,43.349998
2020/4/9,43,45.73,41.389999,41.669998
2020/4/13,44.599998,45.040001,41.169998,41.169998
2020/4/14,40.240002,40.57,37.310001,37.759998
2020/4/15,42.57,43.23,40.049999,40.84
2020/4/16,41.919998,43.02,39.869999,40.110001
2020/4/17,39.5,40.259998,37.630001,38.150002
2020/4/20,40.68,43.830002,39.880001,43.830002
2020/4/21,44.279999,47.77,43.77,45.41
2020/4/22,44.91,45.07,41.41,41.98
